tomb_id,latitude_x,longitude_x,quantity,period,region,county,county_ft,latitude_y,longitude_y,period_ft,start_date,end_date,distance
129,33.1847737160809,112.623973023577,1.0,Eastern Han,henan,wanxian,宛縣 ,33.0095008060053,112.527263265578,後漢 ,25,220,21.47
130,35.4055710679992,113.945113575409,106.0,Western Han,henan,jixian,汲縣 ,35.4179324863995,113.959445844935,前漢 ,-202,9,1.89
131,35.4055710679992,113.945113575409,106.0,Eastern Han,henan,jixian,汲縣 ,35.4179324863995,113.959445844935,後漢 ,25,220,1.89
132,35.4055710679992,113.945113575409,24.0,Western Han,henan,jixian,汲縣 ,35.4179324863995,113.959445844935,前漢 ,-202,9,1.89
133,35.4055710679992,113.945113575409,24.0,Eastern Han,henan,jixian,汲縣 ,35.4179324863995,113.959445844935,後漢 ,25,220,1.89
134,33.0533131428887,111.262022624583,1.0,Western Han,henan,danshui,丹水 ,33.0659160657461,111.238089452914,前漢 ,-202,9,2.63
135,33.0533131428887,111.262022624583,1.0,Western Han,henan,danshui,丹水 ,33.0659160657461,111.238089452914,前漢 ,-202,9,2.63
136,34.4493080831803,113.449053197274,1.0,Western Han,henan,mixian,密縣 ,34.4366149122707,113.507600169195,前漢 ,-202,9,5.55
137,35.024400490356,112.592785791526,1.0,Western Han,henan,zhixian,軹縣,35.09333517,112.5971707,前漢 ,-202,9,7.68
138,35.024400490356,112.592785791526,1.0,Xin,henan,zhixian,軹縣,35.09333517,112.5971707,新莽 ,9,23,7.68
139,35.024400490356,112.592785791526,1.0,Eastern Han,henan,zhixian,軹縣,35.09333517,112.5971707,後漢 ,25,220,7.68
140,35.024400490356,112.592785791526,1.0,Western Han,henan,zhixian,軹縣,35.09333517,112.5971707,前漢 ,-202,9,7.68
141,35.024400490356,112.592785791526,1.0,Western Han,henan,zhixian,軹縣,35.09333517,112.5971707,前漢 ,-202,9,7.68
142,35.024400490356,112.592785791526,1.0,Western Han,henan,zhixian,軹縣,35.09333517,112.5971707,前漢 ,-202,9,7.68
143,33.0018343807997,112.567155412066,1.0,Western Han,henan,wanxian,宛縣 ,33.0095008060053,112.527263265578,前漢 ,-202,9,3.82
144,33.0018343807997,112.567155412066,1.0,Eastern Han,henan,wanxian,宛縣 ,33.0095008060053,112.527263265578,後漢 ,25,220,3.82
145,33.0018343807997,112.567155412066,1.0,Western Han,henan,wanxian,宛縣 ,33.0095008060053,112.527263265578,前漢 ,-202,9,3.82
146,33.0018343807997,112.567155412066,1.0,Eastern Han,henan,wanxian,宛縣 ,33.0095008060053,112.527263265578,後漢 ,25,220,3.82
147,33.0018343807997,112.567155412066,1.0,Xin,henan,wanxian,宛縣 ,33.0095008060053,112.527263265578,新莽 ,9,23,3.82
148,34.7029843366411,112.519520532692,1.0,Eastern Han,henan,henan,河南 ,34.6774314395294,112.414770336201,後漢 ,25,220,9.99
149,32.9391368243311,112.513033170227,1.0,Eastern Han,henan,wanxian,宛縣 ,33.0095008060053,112.527263265578,後漢 ,25,220,7.94
150,34.7594859031514,112.477522038794,1.0,Xin,henan,luoyang,雒陽 ,34.7290575734777,112.653857110393,新莽 ,9,23,16.46
151,34.7754347517606,112.553235407743,1.0,Eastern Han,henan,luoyang,雒陽 ,34.7290575734777,112.653857110393,後漢 ,25,220,10.54
152,34.7660611423226,112.53777587415,1.0,Eastern Han,henan,luoyang,雒陽 ,34.7290575734777,112.653857110393,後漢 ,25,220,11.38
153,33.061425620864,112.641183378786,7.0,Eastern Han,henan,wanxian,宛縣 ,33.0095008060053,112.527263265578,後漢 ,25,220,12.09
